{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6, 'f1_macro_1': 0.5953519833178278, 'f1_micro_1': 0.6, 'accuracy_3': 0.4583333333333333, 'f1_macro_3': 0.45933413049512123, 'f1_micro_3': 0.4583333333333333, 'accuracy_5': 0.45, 'f1_macro_5': 0.44713684326098513, 'f1_micro_5': 0.45, 'accuracy_7': 0.425, 'f1_macro_7': 0.42269889628651425, 'f1_micro_7': 0.425}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6416666666666667, 'f1_macro_1': 0.6393205497453703, 'f1_micro_1': 0.6416666666666667, 'accuracy_3': 0.5333333333333333, 'f1_macro_3': 0.5232289279348104, 'f1_micro_3': 0.5333333333333333, 'accuracy_5': 0.48333333333333334, 'f1_macro_5': 0.46560977055398955, 'f1_micro_5': 0.48333333333333334, 'accuracy_7': 0.4583333333333333, 'f1_macro_7': 0.44114745136245015, 'f1_micro_7': 0.4583333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.65, 'f1_macro_1': 0.6312531533068618, 'f1_micro_1': 0.65, 'accuracy_3': 0.5083333333333333, 'f1_macro_3': 0.47763208276779767, 'f1_micro_3': 0.5083333333333333, 'accuracy_5': 0.5333333333333333, 'f1_macro_5': 0.5090151574828995, 'f1_micro_5': 0.5333333333333333, 'accuracy_7': 0.4666666666666667, 'f1_macro_7': 0.4424624067894368, 'f1_micro_7': 0.4666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.575, 'f1_macro_1': 0.5662194455161207, 'f1_micro_1': 0.575, 'accuracy_3': 0.49166666666666664, 'f1_macro_3': 0.48882575757575764, 'f1_micro_3': 0.49166666666666664, 'accuracy_5': 0.49166666666666664, 'f1_macro_5': 0.48510737846642477, 'f1_micro_5': 0.49166666666666664, 'accuracy_7': 0.4666666666666667, 'f1_macro_7': 0.4648649448651422, 'f1_micro_7': 0.4666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 1.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.675, 'f1_macro_1': 0.6754864275509437, 'f1_micro_1': 0.675, 'accuracy_3': 0.5166666666666667, 'f1_macro_3': 0.527714576295812, 'f1_micro_3': 0.5166666666666667, 'accuracy_5': 0.5166666666666667, 'f1_macro_5': 0.5192641151044706, 'f1_micro_5': 0.5166666666666667, 'accuracy_7': 0.5166666666666667, 'f1_macro_7': 0.5070224268485138, 'f1_micro_7': 0.5166666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 1.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7083333333333334, 'f1_macro_1': 0.701740929235682, 'f1_micro_1': 0.7083333333333334, 'accuracy_3': 0.5583333333333333, 'f1_macro_3': 0.5497930636300756, 'f1_micro_3': 0.5583333333333333, 'accuracy_5': 0.5, 'f1_macro_5': 0.49743900127566193, 'f1_micro_5': 0.5, 'accuracy_7': 0.525, 'f1_macro_7': 0.5176092308752155, 'f1_micro_7': 0.525}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 1.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6666666666666666, 'f1_macro_1': 0.6577557627557628, 'f1_micro_1': 0.6666666666666666, 'accuracy_3': 0.5666666666666667, 'f1_macro_3': 0.5637017055941204, 'f1_micro_3': 0.5666666666666667, 'accuracy_5': 0.5166666666666667, 'f1_macro_5': 0.503575410604916, 'f1_micro_5': 0.5166666666666667, 'accuracy_7': 0.48333333333333334, 'f1_macro_7': 0.47432413158500114, 'f1_micro_7': 0.48333333333333334}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 1.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7333333333333333, 'f1_macro_1': 0.730669080919081, 'f1_micro_1': 0.7333333333333333, 'accuracy_3': 0.6083333333333333, 'f1_macro_3': 0.6075308984914647, 'f1_micro_3': 0.6083333333333333, 'accuracy_5': 0.5583333333333333, 'f1_macro_5': 0.5522405798237001, 'f1_micro_5': 0.5583333333333333, 'accuracy_7': 0.5666666666666667, 'f1_macro_7': 0.5537241985068073, 'f1_micro_7': 0.5666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 1.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6833333333333333, 'f1_macro_1': 0.684956228956229, 'f1_micro_1': 0.6833333333333333, 'accuracy_3': 0.5333333333333333, 'f1_macro_3': 0.5299185692876395, 'f1_micro_3': 0.5333333333333333, 'accuracy_5': 0.49166666666666664, 'f1_macro_5': 0.49402600170502986, 'f1_micro_5': 0.49166666666666664, 'accuracy_7': 0.4583333333333333, 'f1_macro_7': 0.46803934218634763, 'f1_micro_7': 0.4583333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 10.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6166666666666667, 'f1_macro_1': 0.6147486498643289, 'f1_micro_1': 0.6166666666666667, 'accuracy_3': 0.5083333333333333, 'f1_macro_3': 0.4929776866649932, 'f1_micro_3': 0.5083333333333333, 'accuracy_5': 0.43333333333333335, 'f1_macro_5': 0.44152611921961765, 'f1_micro_5': 0.43333333333333335, 'accuracy_7': 0.38333333333333336, 'f1_macro_7': 0.36843035810037245, 'f1_micro_7': 0.38333333333333336}
