{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 100.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8333333333333334, 'f1_macro_1': 0.8262385741218694, 'f1_micro_1': 0.8333333333333334, 'accuracy_3': 0.65, 'f1_macro_3': 0.6491718807508281, 'f1_micro_3': 0.65, 'accuracy_5': 0.6166666666666667, 'f1_macro_5': 0.5994717346033136, 'f1_micro_5': 0.6166666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 200.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8583333333333333, 'f1_macro_1': 0.8522283272283271, 'f1_micro_1': 0.8583333333333333, 'accuracy_3': 0.575, 'f1_macro_3': 0.5721652421652421, 'f1_micro_3': 0.575, 'accuracy_5': 0.5416666666666666, 'f1_macro_5': 0.5191120918984696, 'f1_micro_5': 0.5416666666666666}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 500.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.85, 'f1_macro_1': 0.8586221614642666, 'f1_micro_1': 0.85, 'accuracy_3': 0.575, 'f1_macro_3': 0.5819503887924939, 'f1_micro_3': 0.575, 'accuracy_5': 0.49166666666666664, 'f1_macro_5': 0.4914212331032866, 'f1_micro_5': 0.49166666666666664}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 0.1, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.65, 'f1_macro_1': 0.643293833951618, 'f1_micro_1': 0.65, 'accuracy_3': 0.5166666666666667, 'f1_macro_3': 0.4864413779068951, 'f1_micro_3': 0.5166666666666667, 'accuracy_5': 0.5083333333333333, 'f1_macro_5': 0.47570117427688646, 'f1_micro_5': 0.5083333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 1.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.775, 'f1_macro_1': 0.7802371332371333, 'f1_micro_1': 0.775, 'accuracy_3': 0.6083333333333333, 'f1_macro_3': 0.6214738602446328, 'f1_micro_3': 0.6083333333333333, 'accuracy_5': 0.5583333333333333, 'f1_macro_5': 0.5593419578432367, 'f1_micro_5': 0.5583333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 10.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8916666666666667, 'f1_macro_1': 0.8898484221092918, 'f1_micro_1': 0.8916666666666667, 'accuracy_3': 0.6333333333333333, 'f1_macro_3': 0.6105451214106484, 'f1_micro_3': 0.6333333333333333, 'accuracy_5': 0.6333333333333333, 'f1_macro_5': 0.6225403882408233, 'f1_micro_5': 0.6333333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 100.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.9666666666666667, 'f1_macro_1': 0.9662553485162182, 'f1_micro_1': 0.9666666666666667, 'accuracy_3': 0.575, 'f1_macro_3': 0.5829747899159663, 'f1_micro_3': 0.575, 'accuracy_5': 0.5, 'f1_macro_5': 0.487037015615963, 'f1_micro_5': 0.5}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 200.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.75, 'f1_macro_1': 0.7467306657306657, 'f1_micro_1': 0.75, 'accuracy_3': 0.6166666666666667, 'f1_macro_3': 0.6109877413445228, 'f1_micro_3': 0.6166666666666667, 'accuracy_5': 0.5666666666666667, 'f1_macro_5': 0.5580303030303031, 'f1_micro_5': 0.5666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 500.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8083333333333333, 'f1_macro_1': 0.802676912459521, 'f1_micro_1': 0.8083333333333333, 'accuracy_3': 0.5916666666666667, 'f1_macro_3': 0.5766359858310323, 'f1_micro_3': 0.5916666666666667, 'accuracy_5': 0.44166666666666665, 'f1_macro_5': 0.43682075523793784, 'f1_micro_5': 0.44166666666666665}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 0.1, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6166666666666667, 'f1_macro_1': 0.6017040181208098, 'f1_micro_1': 0.6166666666666667, 'accuracy_3': 0.4666666666666667, 'f1_macro_3': 0.44195972351929946, 'f1_micro_3': 0.4666666666666667, 'accuracy_5': 0.44166666666666665, 'f1_macro_5': 0.398527229242644, 'f1_micro_5': 0.44166666666666665}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 1.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7416666666666667, 'f1_macro_1': 0.7404631072252555, 'f1_micro_1': 0.7416666666666667, 'accuracy_3': 0.6333333333333333, 'f1_macro_3': 0.6297069586868186, 'f1_micro_3': 0.6333333333333333, 'accuracy_5': 0.5666666666666667, 'f1_macro_5': 0.5506568627450981, 'f1_micro_5': 0.5666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 10.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8583333333333333, 'f1_macro_1': 0.8470831873440569, 'f1_micro_1': 0.8583333333333333, 'accuracy_3': 0.65, 'f1_macro_3': 0.6234606773506204, 'f1_micro_3': 0.65, 'accuracy_5': 0.5583333333333333, 'f1_macro_5': 0.534288186758775, 'f1_micro_5': 0.5583333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 100.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8333333333333334, 'f1_macro_1': 0.8246531072413426, 'f1_micro_1': 0.8333333333333334, 'accuracy_3': 0.7083333333333334, 'f1_macro_3': 0.6933049172461818, 'f1_micro_3': 0.7083333333333334, 'accuracy_5': 0.6416666666666667, 'f1_macro_5': 0.6362328567489858, 'f1_micro_5': 0.6416666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 200.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.85, 'f1_macro_1': 0.8474166689724173, 'f1_micro_1': 0.85, 'accuracy_3': 0.6666666666666666, 'f1_macro_3': 0.6504991226673149, 'f1_micro_3': 0.6666666666666666, 'accuracy_5': 0.5666666666666667, 'f1_macro_5': 0.5412663603453078, 'f1_micro_5': 0.5666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 500.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8166666666666667, 'f1_macro_1': 0.8105197744030695, 'f1_micro_1': 0.8166666666666667, 'accuracy_3': 0.6583333333333333, 'f1_macro_3': 0.6605267797218262, 'f1_micro_3': 0.6583333333333333, 'accuracy_5': 0.5916666666666667, 'f1_macro_5': 0.6013613861791447, 'f1_micro_5': 0.5916666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 0.1, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6583333333333333, 'f1_macro_1': 0.6438607361248014, 'f1_micro_1': 0.6583333333333333, 'accuracy_3': 0.525, 'f1_macro_3': 0.5061787101787102, 'f1_micro_3': 0.525, 'accuracy_5': 0.475, 'f1_macro_5': 0.4506723448431572, 'f1_micro_5': 0.47500000000000003}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 1.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7666666666666667, 'f1_macro_1': 0.7601040843214756, 'f1_micro_1': 0.7666666666666667, 'accuracy_3': 0.7083333333333334, 'f1_macro_3': 0.7093298572159144, 'f1_micro_3': 0.7083333333333334, 'accuracy_5': 0.6416666666666667, 'f1_macro_5': 0.616974478680361, 'f1_micro_5': 0.6416666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 10.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8, 'f1_macro_1': 0.7928083279547811, 'f1_micro_1': 0.8000000000000002, 'accuracy_3': 0.6083333333333333, 'f1_macro_3': 0.5884549032838506, 'f1_micro_3': 0.6083333333333333, 'accuracy_5': 0.5916666666666667, 'f1_macro_5': 0.5729780685134587, 'f1_micro_5': 0.5916666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 100.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.9416666666666667, 'f1_macro_1': 0.9408909351518048, 'f1_micro_1': 0.9416666666666667, 'accuracy_3': 0.725, 'f1_macro_3': 0.7286132949176427, 'f1_micro_3': 0.7250000000000001, 'accuracy_5': 0.6583333333333333, 'f1_macro_5': 0.6611241626590465, 'f1_micro_5': 0.6583333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 200.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8083333333333333, 'f1_macro_1': 0.8069949181253528, 'f1_micro_1': 0.8083333333333333, 'accuracy_3': 0.625, 'f1_macro_3': 0.6144647238726186, 'f1_micro_3': 0.625, 'accuracy_5': 0.55, 'f1_macro_5': 0.5407664413929142, 'f1_micro_5': 0.55}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 500.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7916666666666666, 'f1_macro_1': 0.7792228645068402, 'f1_micro_1': 0.7916666666666666, 'accuracy_3': 0.65, 'f1_macro_3': 0.6608242737654503, 'f1_micro_3': 0.65, 'accuracy_5': 0.6166666666666667, 'f1_macro_5': 0.6228812370509371, 'f1_micro_5': 0.6166666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 0.1, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6333333333333333, 'f1_macro_1': 0.6303544548072284, 'f1_micro_1': 0.6333333333333333, 'accuracy_3': 0.5333333333333333, 'f1_macro_3': 0.5286225602354635, 'f1_micro_3': 0.5333333333333333, 'accuracy_5': 0.4666666666666667, 'f1_macro_5': 0.45917739680897574, 'f1_micro_5': 0.4666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 1.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.775, 'f1_macro_1': 0.7624720620858729, 'f1_micro_1': 0.775, 'accuracy_3': 0.65, 'f1_macro_3': 0.64613400702461, 'f1_micro_3': 0.65, 'accuracy_5': 0.6083333333333333, 'f1_macro_5': 0.5914330822156908, 'f1_micro_5': 0.6083333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 10.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8416666666666667, 'f1_macro_1': 0.8404586414926507, 'f1_micro_1': 0.8416666666666667, 'accuracy_3': 0.6916666666666667, 'f1_macro_3': 0.6955643969116059, 'f1_micro_3': 0.6916666666666667, 'accuracy_5': 0.6166666666666667, 'f1_macro_5': 0.6194721833617476, 'f1_micro_5': 0.6166666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 100.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8666666666666667, 'f1_macro_1': 0.8658130130738828, 'f1_micro_1': 0.8666666666666667, 'accuracy_3': 0.625, 'f1_macro_3': 0.6105043155043155, 'f1_micro_3': 0.625, 'accuracy_5': 0.5666666666666667, 'f1_macro_5': 0.5613944350843665, 'f1_micro_5': 0.5666666666666667}
